CustomerID,Gender,Age,City,MembershipType,TotalSpend,ItemsPurchased,AvgRating,DiscountApplied,DaysSinceLastPurchase,SatisfactionLevel,Cluster,Churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
101,Female,29,New York,Gold,1120.2,14,4.6,True,25,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
102,Male,34,Los Angeles,Silver,780.5,11,4.1,False,18,Neutral,Regular Customer,0,3,2,3,8,Regular Customer
103,Female,43,Chicago,Bronze,510.75,9,3.4,True,42,Unsatisfied,Low-Engagement Customer,1,1,1,2,4,Lost / Inactive Customer
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
105,Male,27,Miami,Silver,720.4,13,4.0,True,55,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
109,Female,41,Chicago,Bronze,495.25,10,3.6,True,40,Unsatisfied,Low-Engagement Customer,1,1,2,1,4,Lost / Inactive Customer
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
112,Female,36,Houston,Bronze,470.5,7,3.2,False,20,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
113,Female,30,New York,Gold,1200.8,16,4.3,True,21,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
114,Male,33,Los Angeles,Silver,820.75,13,4.4,False,15,Satisfied,Regular Customer,0,4,3,3,10,VIP / Loyal Customer
115,Female,42,Chicago,Bronze,530.4,9,3.5,True,38,Unsatisfied,Low-Engagement Customer,1,2,1,2,5,At Risk Customer
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,High-Value Customer,0,2,1,1,4,Lost / Inactive Customer
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,Regular Customer,0,2,3,4,9,Regular Customer
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,Regular Customer,0,3,2,3,8,Regular Customer
121,Female,43,Chicago,Bronze,505.75,10,3.3,True,41,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
122,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
127,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,Low-Engagement Customer,1,1,1,1,3,Lost / Inactive Customer
128,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
129,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
130,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
131,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,Regular Customer,0,4,3,3,10,VIP / Loyal Customer
133,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,Low-Engagement Customer,1,2,1,2,5,At Risk Customer
134,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
135,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
136,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,High-Value Customer,0,2,1,1,4,Lost / Inactive Customer
137,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,Regular Customer,0,3,3,3,9,Regular Customer
138,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,Regular Customer,0,3,2,3,8,Regular Customer
139,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,Low-Engagement Customer,1,1,2,1,4,Lost / Inactive Customer
140,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
141,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
142,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
143,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
144,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
145,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,Low-Engagement Customer,1,2,1,1,4,Lost / Inactive Customer
146,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
147,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
148,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
149,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
150,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
151,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
152,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
153,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
154,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
155,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
156,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
157,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,Low-Engagement Customer,1,1,1,1,3,Lost / Inactive Customer
158,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
159,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
162,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,Regular Customer,0,4,3,3,10,VIP / Loyal Customer
163,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,Low-Engagement Customer,1,2,1,2,5,At Risk Customer
164,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
165,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
166,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,High-Value Customer,0,2,1,1,4,Lost / Inactive Customer
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,Regular Customer,0,3,3,3,9,Regular Customer
168,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,Regular Customer,0,3,2,3,8,Regular Customer
169,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,Low-Engagement Customer,1,1,2,1,4,Lost / Inactive Customer
170,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
171,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
172,Female,37,Houston,Bronze,420.8,7,3.1,False,21,,Low-Engagement Customer,0,3,1,1,5,At Risk Customer
173,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
174,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
175,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,Low-Engagement Customer,1,2,1,1,4,Lost / Inactive Customer
176,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
177,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
178,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,Regular Customer,0,4,2,3,9,Regular Customer
181,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,Low-Engagement Customer,1,1,2,2,5,At Risk Customer
182,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
183,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
184,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
185,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
186,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,Regular Customer,0,4,3,3,10,VIP / Loyal Customer
187,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,Low-Engagement Customer,1,1,1,1,3,Lost / Inactive Customer
188,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
189,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,Low-Engagement Customer,1,2,2,2,6,At Risk Customer
190,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,Regular Customer,0,3,4,4,11,VIP / Loyal Customer
192,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,Regular Customer,0,4,3,3,10,VIP / Loyal Customer
193,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,Low-Engagement Customer,1,2,1,2,5,At Risk Customer
194,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
195,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
196,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,High-Value Customer,0,2,1,1,4,Lost / Inactive Customer
197,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,Regular Customer,0,3,3,3,9,Regular Customer
198,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,Regular Customer,0,3,2,3,8,Regular Customer
199,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,Low-Engagement Customer,1,1,2,1,4,Lost / Inactive Customer
200,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,Regular Customer,0,4,4,4,12,VIP / Loyal Customer
201,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,Low-Engagement Customer,1,1,3,2,6,At Risk Customer
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,High-Value Customer,0,3,1,1,5,At Risk Customer
203,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,Regular Customer,0,2,3,3,8,Regular Customer
